year,month,route_id,ridership
2020,2,79,5884
2020,2,80,216
2020,2,84,3743
2020,2,88,2462
2020,2,89,1806
2020,2,90,421
2020,2,92,299
2020,2,93,1191
2020,2,94,465
2020,2,95,543
2020,2,96,1291
2020,2,97,626
2020,2,98,928
2020,2,99,1176
2020,2,D1,4180
2020,2,D2,4235
2020,2,103,1296
2020,2,104,3232
2020,2,105,1225
2020,2,106,1315
2020,2,107,1040
2020,2,108,5384
2020,2,109,4468
2020,2,110,1973
2020,2,111,1455
2020,2,112,1225
2020,2,113,6640
2020,2,114,1932
2020,2,115,1194
2020,2,117,1925
2020,2,118,497
2020,2,119,716
2020,2,120,450
2020,2,123,921
2020,2,124,1839
2020,2,125,2168
2020,2,126,670
2020,2,127,295
2020,2,128,377
2020,2,129,905
2020,2,130,560
2020,2,131,646
2020,2,132,337
2020,2,133,70
2020,2,139,423
2020,2,150,32
2020,2,201,157
2020,2,204,197
2020,2,206,159
2020,2,310,387
2020,2,311,216
2020,2,47M,1053
2020,2,BLVDDIR,3123
2020,2,B1 OWL,1858
2020,2,63,17074
2020,2,71,5250
2020,2,41,3006
2020,2,K,9466
2020,2,51,7821
2020,2,LUCYGO,1637
2020,2,LUCYGR,1087
2020,2,L1 OWL,1947
2020,2,82,10316
2020,2,81,6104
2020,3,1,2389
2020,3,2,4062
2020,3,3,7438
2020,3,4,6487
2020,3,5,3227
2020,3,6,5166
2020,3,7,4783
2020,3,8,2080
2020,3,9,3586
2020,3,T1,6357
2020,3,T4,11924
2020,3,12,2378
2020,3,T3,9941
2020,3,14,5481
2020,3,G1,3814
2020,3,16,6955
2020,3,17,8236
2020,3,18,12651
2020,3,19,921
2020,3,20,3796
2020,3,21,8495
2020,3,22,3685
2020,3,23,14589
2020,3,24,1896
2020,3,25,3732
2020,3,26,9905
2020,3,27,3520
2020,3,28,1537
2020,3,29,3723
2020,3,30,1231
2020,3,31,4166
2020,3,32,4129
2020,3,33,10230
2020,3,T2,9824
2020,3,35,150
2020,3,T5,11647
2020,3,37,2818
2020,3,38,2440
2020,3,39,2375
2020,3,40,7803
2020,3,42,8125
2020,3,43,2932
2020,3,44,2915
2020,3,45,4731
2020,3,46,4588
2020,3,47,14739
2020,3,48,6846
2020,3,49,2661
2020,3,50,1628
2020,3,52,12245
2020,3,53,2367
2020,3,54,6116
2020,3,55,4099
2020,3,56,10128
2020,3,57,8399
2020,3,58,6376
2020,3,59,4286
2020,3,60,9625
2020,3,61,3840
2020,3,62,184
2020,3,64,4192
2020,3,65,6654
2020,3,66,8700
2020,3,67,3796
2020,3,68,2055
2020,3,70,6792
2020,3,73,2284
2020,3,75,1511
2020,3,77,723
2020,3,78,67
2020,3,79,4956
2020,3,80,199
2020,3,84,2893
2020,3,88,1693
2020,3,89,1630
2020,3,90,356
2020,3,92,175
2020,3,93,851
2020,3,94,665
2020,3,95,545
2020,3,96,988
2020,3,97,417
2020,3,98,713
2020,3,99,1018
2020,3,D1,2550
2020,3,D2,2583
2020,3,103,785
2020,3,104,2459
2020,3,105,833
2020,3,106,868
2020,3,107,735
2020,3,108,5555
2020,3,109,3072
2020,3,110,1440
2020,3,111,924
2020,3,112,638
2020,3,113,4795
2020,3,114,1540
2020,3,115,903
2020,3,117,1435
2020,3,118,284
2020,3,119,580
2020,3,120,356
2020,3,123,599
2020,3,124,1839
2020,3,125,1225
2020,3,126,455
2020,3,127,181
2020,3,128,215
2020,3,129,893
2020,3,130,606
2020,3,131,614
2020,3,132,347
2020,3,133,67
2020,3,139,431
2020,3,150,8
2020,3,201,165
2020,3,204,170
2020,3,206,95
2020,3,310,331
2020,3,311,191
2020,3,47M,726
2020,3,BLVDDIR,2764
2020,3,B1 OWL,1733
2020,3,63,13378
2020,3,71,4340
2020,3,41,2464
2020,3,K,7848
2020,3,51,5759
2020,3,LUCYGO,1238
2020,3,LUCYGR,822
2020,3,L1 OWL,1467
2020,3,82,8277
2020,3,81,5305
2020,4,1,566
2020,4,2,913
2020,4,3,3790
2020,4,4,2352
2020,4,5,1017
2020,4,6,1606
2020,4,7,2223
2020,4,8,0
2020,4,9,809
2020,4,T1,625
2020,4,T4,4334
2020,4,12,552
2020,4,T3,3058
2020,4,14,2758
2020,4,G1,532
2020,4,16,3745
2020,4,17,2425
2020,4,18,5542
2020,4,19,199
2020,4,20,1349
2020,4,21,2948
2020,4,22,1312
2020,4,23,5684
2020,4,24,661
2020,4,25,1538
2020,4,26,2389
2020,4,27,763
2020,4,28,208
2020,4,29,971
2020,4,30,312
2020,4,31,1124
2020,4,32,1045
2020,4,33,3511
2020,4,T2,2369
2020,4,35,70
2020,4,T5,3447
2020,4,37,1030
2020,4,38,662
2020,4,39,715
2020,4,40,1751
2020,4,42,2278
2020,4,43,584
2020,4,44,363
2020,4,45,922
2020,4,46,1457
2020,4,47,5090
2020,4,48,1833
2020,4,49,668
2020,4,50,693
2020,4,52,5285
2020,4,53,771
2020,4,54,2612
2020,4,55,1454
2020,4,56,3525
2020,4,57,2175
2020,4,58,1990
2020,4,59,1058
2020,4,60,3341
2020,4,61,1253
2020,4,62,0
2020,4,64,1738
2020,4,65,2472
2020,4,66,3115
2020,4,67,897
2020,4,68,107
2020,4,70,1756
2020,4,73,748
2020,4,75,715
2020,4,77,246
2020,4,78,6
2020,4,79,1199
2020,4,80,89
2020,4,84,790
2020,4,88,290
2020,4,89,419
2020,4,90,207
2020,4,92,64
2020,4,93,433
2020,4,94,92
2020,4,95,185
2020,4,96,413
2020,4,97,306
2020,4,98,191
2020,4,99,362
2020,4,D1,251
2020,4,D2,254
2020,4,103,219
2020,4,104,897
2020,4,105,406
2020,4,106,337
2020,4,107,276
2020,4,108,2092
2020,4,109,1741
2020,4,110,499
2020,4,111,388
2020,4,112,126
2020,4,113,2868
2020,4,114,745
2020,4,115,263
2020,4,117,1016
2020,4,118,116
2020,4,119,338
2020,4,120,132
2020,4,123,297
2020,4,124,615
2020,4,125,559
2020,4,126,181
2020,4,127,108
2020,4,128,139
2020,4,129,339
2020,4,130,183
2020,4,131,213
2020,4,132,111
2020,4,133,0
2020,4,139,141
2020,4,150,6
2020,4,201,0
2020,4,204,25
2020,4,206,22
2020,4,310,116
2020,4,311,73
2020,4,47M,154
2020,4,BLVDDIR,1354
2020,4,B1 OWL,759
2020,4,63,4997
2020,4,71,1574
2020,4,41,661
2020,4,K,2962
2020,4,51,1705
2020,4,LUCYGO,194
2020,4,LUCYGR,115
2020,4,L1 OWL,531
2020,4,82,3204
2020,4,81,1770
2020,5,1,888
2020,5,2,1219
2020,5,3,3837
2020,5,4,2588
2020,5,5,1210
2020,5,6,2455
2020,5,7,2110
2020,5,8,599
2020,5,9,1141
2020,5,T1,1146
2020,5,T4,6857
2020,5,12,568
2020,5,T3,3228
2020,5,14,2732
2020,5,G1,976
2020,5,16,3986
2020,5,17,3019
2020,5,18,5532
2020,5,19,268
2020,5,20,1177
2020,5,21,3195
2020,5,22,1669
2020,5,23,7333
2020,5,24,561
2020,5,25,1600
2020,5,26,3665
2020,5,27,1034
2020,5,28,354
2020,5,29,1065
2020,5,30,349
2020,5,31,1196
2020,5,32,1014
2020,5,33,3856
2020,5,T2,3149
2020,5,35,70
2020,5,T5,4329
2020,5,37,971
2020,5,38,654
2020,5,39,627
2020,5,40,2569
2020,5,42,2622
2020,5,43,648
2020,5,44,600
