year,month,route,ridership
2019,10,44,81869
2019,10,47,267633
2019,10,48,20382
2019,10,49,468290
2019,10,49B,146847
2019,10,5,13882
2019,10,50,270669
2019,10,51,36974
2019,10,52,338157
2019,10,52A,108800
2019,10,53,500002
2019,10,53A,194646
2019,10,54,282164
2019,10,54A,17208
2019,10,54B,82354
2019,10,55,264985
2019,10,55A,7476
2019,10,55N,13033
2019,10,56,244513
2019,10,57,61875
2019,10,59,81570
2019,10,6,273589
2019,10,60,320463
2019,10,62,277874
2019,10,62H,24003
2019,10,63,418537
2019,10,63W,40451
2019,10,65,232659
2019,10,66,606147
2019,10,67,264223
2019,10,68,28924
2019,10,7,132935
2019,10,70,219675
2019,10,71,242249
2019,10,72,397982
2019,10,73,146876
2019,10,74,333334
2019,10,75,187772
2019,10,76,319427
2019,10,77,530637
2019,10,78,212783
2019,10,79,662747
2019,10,8,621623
2019,10,80,291024
2019,10,81,302026
2019,10,81W,43377
2019,10,82,453461
2019,10,84,95428
2019,10,85,249897
2019,10,85A,13814
2019,10,86,59677
2019,10,87,292399
2019,10,88,33157
2019,10,8A,74520
2019,10,9,513314
2019,10,90,120493
2019,10,91,169635
2019,10,92,159024
2019,10,93,86835
2019,10,94,222754
2019,10,95,159118
2019,10,96,19356
2019,10,97,81619
2019,10,J14,282855
2019,10,X49,147439
2019,10,X9,192203
2019,10,X98,227
2019,11,1,35238
2019,11,100,10279
2019,11,1001,57460
2019,11,103,48995
2019,11,106,27983
2019,11,108,18579
2019,11,11,36293
2019,11,111,72741
2019,11,111A,6750
2019,11,112,40742
2019,11,115,70848
2019,11,119,99574
2019,11,12,313826
2019,11,120,15257
2019,11,121,21132
2019,11,124,27980
2019,11,125,24872
2019,11,126,122604
2019,11,128,1248
2019,11,134,56047
2019,11,135,64762
2019,11,136,36822
2019,11,143,33571
2019,11,146,325531
2019,11,147,289886
2019,11,148,48463
2019,11,15,175173
2019,11,151,380634
2019,11,152,218245
2019,11,155,165971
2019,11,156,130002
2019,11,157,132199
2019,11,165,3113
2019,11,169,2525
2019,11,171,29383
2019,11,172,52266
2019,11,18,100158
2019,11,19,3929
2019,11,192,15128
2019,11,2,70128
2019,11,20,394556
2019,11,201,58258
