ridership,daytype,date,route,month_beginning,avg_weekday_rides,monthtotal,avg_sunday_holiday_rides,avg_saturday_rides,routename
3215,W,2001-01-03,11,2001-01-01,3448.7,86887.0,869.5,1667.3,Lincoln/Sedgwick
8352,W,2001-01-04,145,2001-01-01,8074.3,203232.0,1831.2,4110.5,Wilson/Michigan Express
7320,W,2001-01-03,78,2001-01-01,8891.8,235297.0,3274.2,5826.3,Montrose
9845,W,2001-01-03,28,2001-01-01,11964.9,336246.0,5587.8,11269.6,Stony Island
18510,W,2001-01-02,53,2001-01-01,21726.0,589242.0,9466.2,15984.4,Pulaski
402,W,2001-01-03,17,2001-01-01,514.5,11319.0,0.0,0.0,Westchester
7840,W,2001-01-02,94,2001-01-01,10603.7,269786.0,3467.0,4792.6,South California
4061,U,2001-01-01,52,2001-01-01,11592.4,313490.0,5112.6,8223.9,Kedzie/California
1214,W,2001-01-05,43,2001-01-01,1351.0,34213.0,354.8,679.3,43rd
385,U,2001-01-01,10,2001-01-01,0.0,4115.0,372.9,562.6,Museum of S & I
19366,W,2001-01-03,66,2001-01-01,21001.5,557759.0,8478.8,13332.8,Chicago
279,W,2001-01-04,49A,2001-01-01,333.3,7332.0,0.0,0.0,South Western
9613,W,2001-01-02,52,2001-01-01,11592.4,313490.0,5112.6,8223.9,Kedzie/California
9272,W,2001-01-02,146,2001-01-01,9355.1,242849.0,3117.4,5362.4,Inner Drive/Michigan Express
759,W,2001-01-02,122,2001-01-01,1122.9,24705.0,0.0,0.0,Illinois Center/Ogilvie Express
20265,W,2001-01-04,22,2001-01-01,21206.2,577386.0,10462.2,14634.5,Clark
15243,W,2001-01-03,29,2001-01-01,16328.2,451955.0,8537.9,12511.5,State
5085,W,2001-01-03,44,2001-01-01,6559.2,162910.0,1564.6,2696.0,Wallace-Racine
322,W,2001-01-04,170,2001-01-01,287.1,6315.0,0.0,0.0,U. of Chicago/Midway
21679,W,2001-01-05,4,2001-01-01,22432.2,618796.0,10662.2,17994.0,Cottage Grove
1151,W,2001-01-03,62H,2001-01-01,1392.2,33189.0,0.0,640.0,Archer/Harlem
17775,W,2001-01-04,77,2001-01-01,19856.3,529774.0,8400.0,12733.9,Belmont
14369,W,2001-01-04,29,2001-01-01,16328.2,451955.0,8537.9,12511.5,State
8918,W,2001-01-03,70,2001-01-01,11102.5,301077.0,5264.0,7625.8,Division
