year,month,route,ridership,city
2019,7,76,9386,Chicago
2019,7,77,16148,Chicago
2019,7,78,6386,Chicago
2019,7,79,20332,Chicago
2019,7,8,15636,Chicago
2019,7,80,8678,Chicago
2019,7,81,9649,Chicago
2019,7,81W,1206,Chicago
2019,7,82,12852,Chicago
2019,7,84,2616,Chicago
2019,7,85,7368,Chicago
2019,7,85A,545,Chicago
2019,7,86,1627,Chicago
2019,7,87,9369,Chicago
2019,7,88,880,Chicago
2019,7,8A,2275,Chicago
2019,7,9,15682,Chicago
2019,7,90,3656,Chicago
2019,7,91,4832,Chicago
2019,7,92,4726,Chicago
2019,7,93,2908,Chicago
2019,7,94,6412,Chicago
2019,7,95,4546,Chicago
2019,7,96,769,Chicago
2019,7,97,2498,Chicago
2019,7,J14,8674,Chicago
2019,7,X49,5192,Chicago
2019,7,X9,6954,Chicago
2019,7,X98,4,Chicago
2019,8,1,1644,Chicago
2019,8,10,549,Chicago
2019,8,100,450,Chicago
2019,8,1001,1353,Chicago
2019,8,103,1553,Chicago
2019,8,106,803,Chicago
2019,8,108,786,Chicago
2019,8,11,1168,Chicago
2019,8,111,2266,Chicago
2019,8,111A,215,Chicago
2019,8,112,1294,Chicago
2019,8,115,2210,Chicago
2019,8,119,3396,Chicago
2019,8,12,9920,Chicago
2019,8,120,671,Chicago
2019,8,121,1075,Chicago
2019,8,124,1630,Chicago
2019,8,125,1080,Chicago
2019,8,126,3979,Chicago
2019,8,128,410,Chicago
2019,8,130,653,Chicago
2019,8,134,2786,Chicago
2019,8,135,3301,Chicago
2019,8,136,1944,Chicago
2019,8,143,1645,Chicago
2019,8,146,11601,Chicago
2019,8,147,10595,Chicago
2019,8,148,2283,Chicago
2019,8,15,5848,Chicago
2019,8,151,14255,Chicago
2019,8,152,6653,Chicago
2019,8,155,5435,Chicago
2019,8,156,6427,Chicago
2019,8,157,4661,Chicago
2019,8,165,177,Chicago
2019,8,169,65,Chicago
2019,8,171,222,Chicago
2019,8,172,496,Chicago
2019,8,18,3101,Chicago
2019,8,19,182,Chicago
2019,8,192,784,Chicago
2019,8,2,3277,Chicago
2019,8,20,12827,Chicago
2019,8,201,1355,Chicago
2019,8,206,293,Chicago
2019,8,21,7962,Chicago
2019,8,22,14877,Chicago
2019,8,24,2427,Chicago
2019,8,26,4086,Chicago
2019,8,28,4654,Chicago
